EOMONTH,Customer Name,Product Level 1,Product Level 2,Product Level 3,Product Level 4,      Sum of Net Amount      ,Comment
31-01-26,ADDISON INDUSTRIES LIMITED,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL -  25*51MM,,"7,724",
31-01-26,ADIX PLASTICS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"12,069",
31-01-26,ADIX PLASTICS LIMITED,LABEL,KEBS,PRINTED KEBS LABEL - 19*13MM - SMALL,,"9,655",
31-01-26,ADVERTISING WORLD LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B,,"492,664",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"69,517",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"23,172",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"72,414",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"24,138",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"45,862",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SQ,,"13,759",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SL,,"48,276",
31-01-26,AEINDRI TRADING LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SQ,,"14,483",
31-01-26,AFAPACK ENTERPRISES LIMITED,LABEL,KEBS,PRINTED KEBS LABEL - 19*13MM - SMALL,,"6,759",
31-01-26,AFAPACK ENTERPRISES LIMITED,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL -  25*51MM,,"25,885",
